03/17/2021 03:50:30 - INFO     - Training on cuda
03/17/2021 03:50:30 - INFO     - Train/Test Split: 94.6% / 5.4%
03/17/2021 03:50:38 - INFO     - Starting new training for /home/ubuntu/EVGen/Results/AWS_test_v10
03/17/2021 05:46:45 - INFO     - Completed: Epoch 950/5000 	 Batch 70/70.0 	 Total Batches 66500/350000.0 	 Time left 8:15:12.118201
03/17/2021 05:47:37 - INFO     - Completed: Epoch 958/5000 	 Batch 10/70.0 	 Total Batches 67000/350000.0 	 Time left 8:14:11.570230
03/17/2021 05:48:29 - INFO     - Completed: Epoch 965/5000 	 Batch 20/70.0 	 Total Batches 67500/350000.0 	 Time left 8:13:18.705443
03/17/2021 05:49:22 - INFO     - Completed: Epoch 972/5000 	 Batch 30/70.0 	 Total Batches 68000/350000.0 	 Time left 8:12:26.502611
03/17/2021 05:50:14 - INFO     - Completed: Epoch 979/5000 	 Batch 40/70.0 	 Total Batches 68500/350000.0 	 Time left 8:11:35.077949
03/17/2021 05:51:06 - INFO     - Completed: Epoch 986/5000 	 Batch 50/70.0 	 Total Batches 69000/350000.0 	 Time left 8:10:43.842966
03/17/2021 05:51:59 - INFO     - Completed: Epoch 993/5000 	 Batch 60/70.0 	 Total Batches 69500/350000.0 	 Time left 8:09:52.376685
03/17/2021 05:52:51 - INFO     - Completed: Epoch 1000/5000 	 Batch 70/70.0 	 Total Batches 70000/350000.0 	 Time left 8:09:01.108308
03/17/2021 05:53:44 - INFO     - Completed: Epoch 1008/5000 	 Batch 10/70.0 	 Total Batches 70500/350000.0 	 Time left 8:08:03.854776
03/17/2021 05:54:37 - INFO     - Completed: Epoch 1015/5000 	 Batch 20/70.0 	 Total Batches 71000/350000.0 	 Time left 8:07:13.469609
03/17/2021 05:55:29 - INFO     - Completed: Epoch 1022/5000 	 Batch 30/70.0 	 Total Batches 71500/350000.0 	 Time left 8:06:21.767486
03/17/2021 05:56:21 - INFO     - Completed: Epoch 1029/5000 	 Batch 40/70.0 	 Total Batches 72000/350000.0 	 Time left 8:05:31.210883
03/17/2021 05:57:14 - INFO     - Completed: Epoch 1036/5000 	 Batch 50/70.0 	 Total Batches 72500/350000.0 	 Time left 8:04:39.466145
03/17/2021 05:58:07 - INFO     - Completed: Epoch 1043/5000 	 Batch 60/70.0 	 Total Batches 73000/350000.0 	 Time left 8:03:50.655923
03/17/2021 05:59:00 - INFO     - Completed: Epoch 1050/5000 	 Batch 70/70.0 	 Total Batches 73500/350000.0 	 Time left 8:03:02.575540
03/17/2021 05:59:53 - INFO     - Completed: Epoch 1058/5000 	 Batch 10/70.0 	 Total Batches 74000/350000.0 	 Time left 8:02:05.117872
03/17/2021 06:00:45 - INFO     - Completed: Epoch 1065/5000 	 Batch 20/70.0 	 Total Batches 74500/350000.0 	 Time left 8:01:11.963897
03/17/2021 06:01:37 - INFO     - Completed: Epoch 1072/5000 	 Batch 30/70.0 	 Total Batches 75000/350000.0 	 Time left 8:00:19.289319
03/17/2021 06:02:29 - INFO     - Completed: Epoch 1079/5000 	 Batch 40/70.0 	 Total Batches 75500/350000.0 	 Time left 7:59:27.540042
03/17/2021 06:03:21 - INFO     - Completed: Epoch 1086/5000 	 Batch 50/70.0 	 Total Batches 76000/350000.0 	 Time left 7:58:35.191714
03/17/2021 06:04:14 - INFO     - Completed: Epoch 1093/5000 	 Batch 60/70.0 	 Total Batches 76500/350000.0 	 Time left 7:57:44.537471
03/17/2021 06:05:06 - INFO     - Completed: Epoch 1100/5000 	 Batch 70/70.0 	 Total Batches 77000/350000.0 	 Time left 7:56:53.844801
03/17/2021 06:05:59 - INFO     - Completed: Epoch 1108/5000 	 Batch 10/70.0 	 Total Batches 77500/350000.0 	 Time left 7:55:55.242832
03/17/2021 06:06:51 - INFO     - Completed: Epoch 1115/5000 	 Batch 20/70.0 	 Total Batches 78000/350000.0 	 Time left 7:55:05.387972
03/17/2021 06:07:44 - INFO     - Completed: Epoch 1122/5000 	 Batch 30/70.0 	 Total Batches 78500/350000.0 	 Time left 7:54:14.690644
03/17/2021 06:08:37 - INFO     - Completed: Epoch 1129/5000 	 Batch 40/70.0 	 Total Batches 79000/350000.0 	 Time left 7:53:23.632763
03/17/2021 06:09:29 - INFO     - Completed: Epoch 1136/5000 	 Batch 50/70.0 	 Total Batches 79500/350000.0 	 Time left 7:52:32.394122
03/17/2021 06:10:22 - INFO     - Completed: Epoch 1143/5000 	 Batch 60/70.0 	 Total Batches 80000/350000.0 	 Time left 7:51:42.232676
03/17/2021 06:11:15 - INFO     - Completed: Epoch 1150/5000 	 Batch 70/70.0 	 Total Batches 80500/350000.0 	 Time left 7:50:54.111648
03/17/2021 06:12:08 - INFO     - Completed: Epoch 1158/5000 	 Batch 10/70.0 	 Total Batches 81000/350000.0 	 Time left 7:49:56.166094
03/17/2021 06:13:00 - INFO     - Completed: Epoch 1165/5000 	 Batch 20/70.0 	 Total Batches 81500/350000.0 	 Time left 7:49:04.019913
03/17/2021 06:13:52 - INFO     - Completed: Epoch 1172/5000 	 Batch 30/70.0 	 Total Batches 82000/350000.0 	 Time left 7:48:11.904126
03/17/2021 06:14:44 - INFO     - Completed: Epoch 1179/5000 	 Batch 40/70.0 	 Total Batches 82500/350000.0 	 Time left 7:47:19.808162
03/17/2021 06:15:37 - INFO     - Completed: Epoch 1186/5000 	 Batch 50/70.0 	 Total Batches 83000/350000.0 	 Time left 7:46:29.609094
03/17/2021 06:16:30 - INFO     - Completed: Epoch 1193/5000 	 Batch 60/70.0 	 Total Batches 83500/350000.0 	 Time left 7:45:39.504800
03/17/2021 06:17:23 - INFO     - Completed: Epoch 1200/5000 	 Batch 70/70.0 	 Total Batches 84000/350000.0 	 Time left 7:44:49.471390
03/17/2021 06:18:15 - INFO     - Completed: Epoch 1208/5000 	 Batch 10/70.0 	 Total Batches 84500/350000.0 	 Time left 7:43:50.285744
03/17/2021 06:19:07 - INFO     - Completed: Epoch 1215/5000 	 Batch 20/70.0 	 Total Batches 85000/350000.0 	 Time left 7:42:58.796969
03/17/2021 06:20:00 - INFO     - Completed: Epoch 1222/5000 	 Batch 30/70.0 	 Total Batches 85500/350000.0 	 Time left 7:42:08.784010
03/17/2021 06:20:53 - INFO     - Completed: Epoch 1229/5000 	 Batch 40/70.0 	 Total Batches 86000/350000.0 	 Time left 7:41:18.208969
03/17/2021 06:21:45 - INFO     - Completed: Epoch 1236/5000 	 Batch 50/70.0 	 Total Batches 86500/350000.0 	 Time left 7:40:27.261551
03/17/2021 06:22:38 - INFO     - Completed: Epoch 1243/5000 	 Batch 60/70.0 	 Total Batches 87000/350000.0 	 Time left 7:39:36.883646
